Known Mahler Measures Less than 1.25

All known (multiplicative) Mahler measures M greater than 1 and less than
1.25 for primitive irreducible polynomials. Here d is the degree, v is the
number of roots outside the unit circle, and only the first d/2 + 1
coefficients are shown since these polynomials are reciprocal.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
May 31, 2026

==========

Rank   d  M                v  Coefficients
 44   46  1.235496042193   3  1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1
 45   22  1.235664580390   1  1 0 -1 1 0 0 0 -1 1 0 -1 1
 46   42  1.235761099712   4  1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
 47   32  1.236083368052   4  1 1 1 1 0 -1 -1 -2 -1 0 0 1 1 0 0 0 -1
 48   32  1.236198469859   3  1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1
 49   32  1.236227922245   4  1 2 2 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 2 3
 50   40  1.236249557349   3  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
 51   16  1.236317931803   1  1 1 0 0 0 0 0 0 -1
 52   54  1.236566917569   5  1 0 1 0 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 -1 0 0 -1 1 -1
 53   34  1.236579223637   3  1 0 0 0 0 1 0 0 0 0 0 0 -1 0 0 0 0 -1
 54   44  1.236674812187   4  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
 55   28  1.236808305865   2  1 1 0 -1 0 0 0 0 0 -1 0 0 0 0 1
 56   26  1.237504821217   1  1 0 -1 0 0 1 0 0 -1 0 1 0 0 -1
 57   46  1.237634830280   5  1 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 0 -1 0 1 1 0 -1 0 1
 58   58  1.237684127894   5  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1
 59   48  1.238040100176   4  1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1
 60   56  1.238431627359   4  1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1
 61   56  1.238708978554   4  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 -1
 62   42  1.239505770490   4  1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1
 63   54  1.239747974875   6  1 1 1 0 0 -1 -1 -1 0 0 0 0 1 1 1 1 1 0 -1 -2 -2 -2 -1 0 1 1 1 1
 64   48  1.239861326360   4  1 2 3 3 2 0 -2 -3 -3 -2 -1 0 0 -1 -2 -2 -1 0 1 1 1 1 1 1 1
 65   60  1.240061859037   4  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1
 66   26  1.240254178706   3  1 1 0 -1 -1 0 0 0 -1 0 1 1 0 -1
 67   50  1.240379074717   3  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
 68   28  1.240699637594   2  1 2 3 3 2 1 0 -1 -1 -1 -1 -1 -2 -3 -3
 69   12  1.240726423653   1  1 1 1 1 0 0 -1
 70   18  1.240770634960   2  1 0 1 0 1 0 0 1 -1 1
 71   54  1.240983403460   5  1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1
 72   68  1.241372531335   6  1 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1
 73   70  1.241422024928   5  1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1
 74   58  1.241541076676   5  1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 0 0 -1 1
 75   72  1.241788568356   6  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 0 0 -1
 76   58  1.241902161200   6  1 0 1 0 0 0 -1 0 -1 0 0 1 1 1 1 0 0 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1
 77   50  1.241974375265   4  1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
 78   58  1.242217045566   5  1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 -1
 79   52  1.242362139933   5  1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
 80   58  1.242610289442   5  1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1
 81   76  1.242775741593   5  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
 82   50  1.242878658278   5  1 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 0 0 0 0 0 0 0 0 0 0 -1
 83   32  1.242940115199   2  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
 84   70  1.242979209676   7  1 0 1 0 0 0 -1 0 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1
 85   60  1.243027765980   6  1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 -1
 86   30  1.243128704866   3  1 1 1 1 1 0 -1 -1 -1 -1 -1 0 0 0 0 1
 87   72  1.243210037398   6  1 1 1 1 1 1 0 -1 -2 -2 -2 -2 -1 0 2 3 3 3 2 1 -1 -3 -4 -4 -3 -2 0 2 4 5 4 3 1 -1 -3 -5 -5
 88   16  1.243477618690   2  1 1 0 -1 -1 -1 0 1 1
 89   60  1.243486256656   4  1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1
 90   46  1.243564793293   4  1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 91   46  1.243682745689   5  1 0 1 0 0 0 -1 0 -1 0 0 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1
 92   28  1.243878801656   2  1 1 1 1 1 1 0 0 0 -1 -1 -1 -1 -1 -1
 93   56  1.243935933206   6  1 1 1 0 0 -1 -1 -1 0 1 1 1 0 0 -1 0 0 1 0 0 -1 -1 -1 -1 0 0 1 0 1
 94   60  1.244271476892   6  1 1 0 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1 0 -1
 95   70  1.244273644932   5  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 -1
 96   40  1.244414501983   4  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
 97   62  1.244598861428   6  1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
 98   18  1.244617058976   3  1 0 -1 0 1 0 -1 0 0 1
 99   76  1.244729172444   6  1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1
100   22  1.244802445450   2  1 0 0 1 0 0 0 0 0 0 0 -1
101   28  1.244901680004   2  1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1
102   40  1.244914151807   4  1 0 0 0 0 0 0 0 0 1 0 -1 0 0 0 0 0 0 0 0 -1
103   86  1.244953592390   7  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1
104   82  1.244967734300   8  1 0 1 0 0 0 -1 0 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1
105   72  1.245048228142   8  1 1 0 0 0 0 0 -1 -1 0 0 0 0 0 1 1 0 0 0 -1 0 0 -1 0 0 0 1 0 0 1 0 0 0 -1 0 0 -1
106   22  1.245181138298   3  1 1 0 -1 -1 0 1 1 0 -1 -1 -1
107   82  1.245370836991   5  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
108   42  1.245372900786   3  1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1
109   80  1.245374741297   6  1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 1
110   78  1.245376549311   8  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1
111   66  1.245397804852   7  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1
112   42  1.245423918110   3  1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1
113   68  1.245554108641   6  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
114   22  1.245602317112   2  1 1 1 1 0 -1 -1 -1 -1 0 1 1
115   28  1.245613552973   3  1 0 1 0 0 1 -1 1 -1 0 0 0 1 0 1
116   54  1.245678970730   5  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
117   34  1.245831463605   3  1 0 0 0 -1 0 0 0 0 0 0 0 0 1 0 0 0 -1
118   88  1.245922202165   8  1 1 0 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1 0 -1
119   78  1.245940651202   8  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
120   74  1.246055240158   7  1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1
121   20  1.246108142719   2  1 1 1 0 0 -1 -1 -1 0 0 1
122   58  1.246289657523   4  1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
123   60  1.246295155833   6  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -1
124   72  1.246335829718   7  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
125   26  1.246393202356   2  1 2 3 3 2 1 0 -1 -1 -1 -1 -1 -1 -1
126   90  1.246403127917   9  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1
127   70  1.246481993407   7  1 1 0 0 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1 0 0 0 -1
128   86  1.246585573936   7  1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1
129   90  1.246627220459   6  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1
130   78  1.246646867295   7  1 0 1 0 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 -1 0 0 -1 1 -1
131   68  1.246757082201   7  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
132   78  1.246828897075   8  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
133   20  1.246878271453   2  1 1 1 1 0 0 0 -1 -1 -1 -1
134   64  1.246918808403   4  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
135   36  1.247049516003   5  1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1
136   94  1.247133538468   9  1 0 1 0 0 0 -1 0 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1
137   82  1.247199872891   9  1 1 0 0 0 0 0 -1 -1 0 0 0 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 -1 0 1 0 -1 -1 0 1 0 -1 0 1 1 0 -1
138   70  1.247212904307   5  1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 0 -1 0 -1 0 0 0 1 1
139   70  1.247347564894   7  1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1
1401  00  1.247365098370   8  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 0 0 -1
141   98  1.247395763109   9  1 1 0 0 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1 0 0 0 -1
142   58  1.247406043552   6  1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
143   68  1.247490777102   5  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
144  106  1.247521509928   7  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1
145   30  1.247574755048   3  1 0 0 0 0 0 0 1 -1 0 0 0 0 0 0 -1
146   78  1.247575823743   7  1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1
147   26  1.247608702636   2  1 0 1 0 1 0 0 0 0 1 0 1 0 1
148   84  1.247632944895   8  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -1
149   70  1.247654600730   6  1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 0 0 1 -1
150   52  1.247654794902   4  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 -1
151   90  1.247685884965  10  1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 1 1 1 0 -1 -1 -1 -1 -1 0 0 0 0 1 0 0 0 1 0 0 0 0 -1 -1 0 0 0 0 1
152   70  1.247696911448   6  1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
153   74  1.247698754611   8  1 1 1 0 0 -1 -1 -1 0 0 0 0 1 1 1 1 1 0 -1 -1 -1 -1 -1 0 0 0 0 1 1 0 0 0 0 -1 0 0 0 -1
154   50  1.247712370498   5  1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1
155   78  1.247718454657   9  1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 1 0 0 -1 0 -1 0 -1 0 -1 0 0 1 1 1 1 0 0 -1 0 -1 0 -1
156   56  1.247816215528   6  1 1 0 0 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 0 0 -1 0 0 0 1
157   96  1.247821565271  10  1 1 1 1 0 0 -1 -2 -2 -2 -1 0 1 1 2 2 1 1 -1 -1 -1 -2 -1 -1 0 1 1 1 1 1 0 0 -1 -1 0 -1 0 0 0 1 1 1 1 1 0 0 -1 -2 -1
158   74  1.247944416886   5  1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1 0 0 0 0 1 0 -1
159   86  1.247947982572   9  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
160   54  1.247953027873   6  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1
161   84  1.247965703934   6  1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1
162   96  1.247996882364   8  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
163   16  1.248013608327   2  1 1 1 1 0 -1 -1 -1 -1
164   80  1.248088129684   8  1 1 0 0 0 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1 -1 -1 0 1 1 1
165   94  1.248284894591   7  1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1
166   80  1.248304427696   8  1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 -1
167  112  1.248321136171  10  1 1 0 0 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 0 0 -1 0 0 0 1
168   98  1.248378407200  11  1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 1 0 0 -1 0 0 1 0 0 -1 -1 -1 0 1 1 0 -1 -1 -1 0 1 2 1 0 -1 -1 -1 0 1 1 0 -1 -1
169   86  1.248405407079   9  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
170  112  1.248466350444  10  1 1 1 1 0 0 -1 -2 -1 -1 0 1 1 2 2 1 0 -1 -2 -2 -2 -2 0 1 2 3 2 2 1 -1 -2 -3 -3 -2 -1 0 2 3 3 3 1 0 -1 -3 -3 -3 -2 0 1 2 3 3 2 0 -2 -3 -3
171  108  1.248548224284  10  1 1 0 0 0 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1 -1 -1 0 1 1 1
172   94  1.248557072214   7  1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1
173   98  1.248559602354   7  1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1
174   78  1.248607393365   6  1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
175   22  1.248611165686   3  1 1 0 0 0 -1 -1 -1 -1 0 1 1
176   96  1.248666353410   6  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
177  116  1.248698859023   8  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 -1
178  104  1.248728765520   8  1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1
179   86  1.248783883051   9  1 1 0 0 0 0 0 -1 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 -1 0 0 -1 0 0 0 1 0 0 1
180   26  1.248818753713   3  1 1 1 1 0 0 0 0 0 0 -1 -1 -1 -1
181  104  1.248834385076  11  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
182   94  1.248842333529   9  1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1
183  106  1.248887030789  11  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1
184   66  1.248935725944   6  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
185   94  1.248952291949  10  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1
