Largest Mahler Measures of Skew-Symmetric Littlewood Polynomials by Degree

Recall a Littlewood polynomial is one whose coefficients are all ±1, and a
skew-symmetric Littlewood polynomial f(x) is a Littlewood polynomial with
even degree d and the property that f(x) = ±x^d * f(-1/x). That is, a
skew-symmetric Littlewood polynomial is formed by interleaving a symmetric
sequence of odd length with an anti-symmetric one of even length, with the
length of the latter within 1 of that of the former.

The question of maximizing the Mahler measure of a Littlewood polynomial,
relative to its degree, is known as Mahler's problem. It is related to a
number of flatness questions regarding this family of polynomials.
Skew-symmetric Littlewood polynomials often arise here, due to favorable
features with respect to these problems.

This list shows up to 25 of the largest (multiplicative) Mahler measures
of skew-symmetric Littlewood polynomials of fixed even degree d, for each
degree up to 56. This complements the list published in [2]. Both the
Mahler measure M and the normalized value M/√(d+1) are displayed for each
entry. Only one representative polynomial for each displayed value is
shown.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
July 1, 2026

References

[1] Peter Borwein,
Computational Excursions in Analysis and Number Theory,
CMS Books Math./Ouvrages Math. SMC 10,
Springer, New York, 2002. MR1912495
DOI 10.1007/978-0-387-21652-2

[2] Peter Borwein and Michael J. Mossinghoff,
Barker sequences and flat polynomials,
in Number Theory and Polynomials (Bristol, 2007),
London Math. Soc. Lecture Note Ser. 352,
Cambridge Univ. Press, Cambridge, 2008, 71-88. MR2428516
DOI 10.1017/cbo9780511721274.007

[3] Michael J. Mossinghoff,
Mahler's problem and Turyn polynomials,
29 pp. arXiv:2405.08281v2 [math.NT]

==========

d  M               M/√(d+1)  Coefficients
18  3.944422719455  0.904913  ++-++++++--+-+-+++-
18  3.938515317891  0.903557  ++---+-+++-++++-++-
18  3.936340720653  0.903058  ++++-++-++---+++-+-
18  3.927672815202  0.901070  ++-------++-+-+-++-
18  3.927594142846  0.901052  ++-----++--++-+-++-
18  3.915043378932  0.898173  ++--+++++--+-+--++-
18  3.890033187925  0.892435  ++--+----++-+---++-
18  3.872673725542  0.888452  ++++---++--++-++-+-
18  3.863762824409  0.886408  +++--+-+++-++++--+-
18  3.861141932497  0.885807  ++++-++++--+-+++-+-
18  3.857147767061  0.884890  +++++-+--++----+-+-
18  3.855941688724  0.884614  +++++++--++--+-+-+-
18  3.854394454854  0.884259  ++------+---+-+-++-
18  3.850605154325  0.883389  ++++--+--++---++-+-
18  3.831524793850  0.879012  ++--++++++-+-+--++-
18  3.823882827231  0.877259  +++++---+---+--+-+-
18  3.818371165890  0.875994  +++-++----+-++---+-

20  4.398528094748  0.959838  ++-------++--+-+-+--+
20  4.374493978863  0.954593  ++++++---++--+--+-+-+
20  4.340555883313  0.947187  ++---++++++-+-+--+--+
20  4.332428045826  0.945413  +++++--+--++---++-+-+
20  4.257813085381  0.929131  ++---+++-+----+--+--+
20  4.245002708940  0.926336  +++++---++--++-++-+-+
20  4.233195684135  0.923759  ++--+-+-+--+++++++--+
20  4.193412218560  0.915078  ++++---+---+---+--+-+
20  4.181708443119  0.912524  ++----+++-+++-++-+--+
20  4.156429116210  0.907007  +++-++-+-++-----+++-+
20  4.155230897253  0.906746  +++--++++++-+-+--++-+
20  4.153109987186  0.906283  +++---+-+-++++++-++-+
20  4.150453136252  0.905703  +++-+---+-++++-++++-+
20  4.150291772664  0.905668  +++++++---++-++-+-+-+
20  4.142751520645  0.904022  +++---+++-+++-++-++-+
20  4.135734427908  0.902491  ++++-++----+-++---+-+
20  4.127693943900  0.900737  ++-----++--++--+-+--+
20  4.115795581913  0.898140  ++++-----++--+-+--+-+
20  4.109745006326  0.896820  ++----+----+-+++-+--+
20  4.096798861239  0.893995  ++---++-+-+++++--+--+
20  4.090220885227  0.892559  +++----+---+---+-++-+
20  4.076536328925  0.889573  ++-----+---+---+-+--+
20  4.063703710962  0.886773  +++--+++-+----+--++-+
20  4.062696200525  0.886553  +++--+++-++---+--++-+
20  4.061612173820  0.886316  ++++-++---++-++---+-+

22  4.571830966387  0.953293  +++++++---++--+--+-+-+-
22  4.551990124116  0.949156  +++-----+---+---+-+--+-
22  4.544568460977  0.947608  +++----+++-+++-++-+--+-
22  4.540056209228  0.946667  +++---++++++-+-+--+--+-
22  4.523928791326  0.943304  ++++++---++--++-++-+-+-
22  4.519945663887  0.942474  ++-------++--++-+-+-++-
22  4.504488527429  0.939251  ++--+-+-+--++-------++-
22  4.463033020507  0.930607  ++++++--+--++---++-+-+-
22  4.459375020981  0.929844  ++++++---+++-++-++-+-+-
22  4.443587776938  0.926552  ++++---+++-+++-++-++-+-
22  4.425115496763  0.922700  ++++---+-+++-++++-++-+-
22  4.420393254545  0.921716  +++++--+--++--+++--+-+-
22  4.419235483342  0.921474  ++++++++---++-++-+-+-+-
22  4.417988992055  0.921214  ++--+--+++++-+-++---++-
22  4.412688147700  0.920109  +++++-----++--+-+--+-+-
22  4.411905801435  0.919946  ++--+-+++-+----+----++-
22  4.409301324331  0.919403  ++---+++++++-+-+-++-++-
22  4.394375412756  0.916291  +++++++--+--+++--+-+-+-
22  4.387454002892  0.914847  ++++++-++-++---+++-+-+-
22  4.380030524407  0.913299  ++--+++++++--+-+-+--++-
22  4.376864939497  0.912639  ++-----+++-+++-++-+-++-
22  4.369139447942  0.911029  +++-+++++---+--+-+---+-
22  4.367207398499  0.910626  ++++----+---+---+-++-+-
22  4.363629665594  0.909880  +++++----++--++-+--+-+-
22  4.360988738354  0.909329  ++-++++-++++-+---+-+++-

24  4.787624002757  0.957525  ++---++------+-+-++--+--+
24  4.734793191018  0.946959  ++---++-+-+-+++++++--+--+
24  4.707677189548  0.941535  ++++++---+++--+--+--+-+-+
24  4.699553903823  0.939911  ++----+++-+++-+++-++-+--+
24  4.688701137493  0.937740  ++++++++---++--+--+-+-+-+
24  4.677437080855  0.935487  +++++++---+++-++-++-+-+-+
24  4.676133326780  0.935227  ++++-----+---+---+-+--+-+
24  4.639946529911  0.927989  +++++++---++--++-++-+-+-+
24  4.638991410781  0.927798  +++-++-+-++--++-----+++-+
24  4.638515763466  0.927703  +++-++++-++++-+---+-+++-+
24  4.637786612950  0.927557  +++++++--+--++---++-+-+-+
24  4.632748241192  0.926550  ++---+++-+-+------+--+--+
24  4.629100418571  0.925820  +++-+---+-++--++++-++++-+
24  4.623090168561  0.924618  ++--+-+-+--++--+++++++--+
24  4.594260961093  0.918852  +++++++--+++--+--++-+-+-+
24  4.579463752065  0.915893  ++++++++--+--+++--+-+-+-+
24  4.571726401638  0.914345  ++--+++++++--++-+-+-++--+
24  4.570528695856  0.914106  ++---++++++++-+-+-+--+--+
24  4.566982790431  0.913397  ++--+------++--+-+-+++--+
24  4.559544365332  0.911909  ++---+-+++-++---+----+--+
24  4.552983643203  0.910597  ++---------++--+-+-+-+--+
24  4.549033696806  0.909807  ++---+++++++--+-+-+--+--+
24  4.548139886209  0.909628  +++++---+++--++-++-++-+-+
24  4.541886929377  0.908377  ++++-------++--+-+-+--+-+
24  4.534327398095  0.906865  ++++++--+--++--+++--+-+-+

26  5.034747352049  0.968938  +++----+++-+++-+++-++-+--+-
26  4.928973062425  0.948581  ++--+++-------+-+-+--+--++-
26  4.917603948539  0.946393  +++---++------+-+-++--+--+-
26  4.915890692838  0.946064  +++--+++++--+---++-+-++--+-
26  4.899117572155  0.942836  ++++++--+--+--+++---++-+-+-
26  4.886138560749  0.940338  ++++++---+++--++-++-++-+-+-
26  4.881072321558  0.939363  +++-+--+++-+--++++-++----+-
26  4.850685717356  0.933515  +++++++---+++--+--+--+-+-+-
26  4.841323187824  0.931713  +++---+++-+++--+---+--+--+-
26  4.838731711970  0.931214  +++-++++-++-+----+++-+---+-
26  4.834416414047  0.930384  +++-++----+--++---+-++---+-
26  4.804789870034  0.924682  +++-+---+++--++--+--+----+-
26  4.804030550184  0.924536  +++-+-+---+++--+--+------+-
26  4.803714540149  0.924475  +++-+---++++-+++-+--+----+-
26  4.801213363975  0.923994  +++---+-+++-++---+----+--+-
26  4.800180957048  0.923795  ++++++-++--+-++++--+++-+-+-
26  4.796641771912  0.923114  ++++---+-+++-+++-++++-++-+-
26  4.794232390911  0.922650  ++++++++--+--++---++-+-+-+-
26  4.782975722619  0.920484  ++--+++------++-+-+--+--++-
26  4.782309189045  0.920356  +++---++-+-+-+++++++--+--+-
26  4.779900107909  0.919892  ++--+++++++--++--+-+-+--++-
26  4.775709335462  0.919086  +++++++--+++--++-++--+-+-+-
26  4.774719161396  0.918895  +++-+-----+--++---+-+----+-
26  4.774195104435  0.918794  ++++++++--+++--+--++-+-+-+-
26  4.764940220977  0.917013  ++--+--+++++++-+-+-++---++-

28  5.184213313780  0.962684  +++--+++-------+-+-+--+--++-+
28  5.048194771519  0.937426  ++++---+++-+++--+---+--+--+-+
28  5.020685736616  0.932318  ++++++--+++----+-++-++--+-+-+
28  5.020035514158  0.932197  ++++++--+--+--++---+++--+-+-+
28  5.019979742653  0.932187  ++++--+++++--+---++-+-++--+-+
28  5.017005407803  0.931635  ++++---+++-++++-+---+--+--+-+
28  5.006215252358  0.929631  ++++-++----+--++---+-++---+-+
28  5.004738896320  0.929357  +++--+++------++-+-+--+--++-+
28  5.004158534526  0.929249  +++-+-----+++--++-++-+-++++-+
28  4.997037631428  0.927927  ++---+++--+-+-++++++--+--+--+
28  4.995533188803  0.927647  ++++++---+++--++--+--+--+-+-+
28  4.990499730584  0.926713  ++++-+-----+--++---+-+----+-+
28  4.987099660932  0.926081  +++++++---+++--++-++-++-+-+-+
28  4.983936808279  0.925494  ++++++-+--++-++---++----+-+-+
28  4.978034851200  0.924398  ++--+++--+-+-+-------++-++--+
28  4.970784536769  0.923052  ++---+++-------+-+-+--+--+--+
28  4.970706565685  0.923037  ++++++----+++--++-++-+--+-+-+
28  4.962936633062  0.921594  ++++----+++-+++-+++-++-+--+-+
28  4.962043066577  0.921428  ++--+-+-+++----+-++-++++++--+
28  4.959838732934  0.921019  ++---++---+++++-+-++-++--+--+
28  4.959793382745  0.921011  ++-------++----+-++--+-+-+--+
28  4.957299119786  0.920547  +++-+-----+--++--+++-+-++++-+
28  4.956324037951  0.920366  +++++++--+----++-+---++-+-+-+
28  4.949846269872  0.919163  +++++-++-+++-+----+---+++-+-+
28  4.947196060960  0.918671  +++-+-+--+++---+--+--++++++-+

30  5.315882464730  0.954761  +++--+++--+-+-+-------++-++--+-
30  5.251157591754  0.943136  +++++++----+++--++-++-+--+-+-+-
30  5.248697079158  0.942694  +++-++-+++--+-++----++-+++---+-
30  5.231780748560  0.939656  ++-------++----++-+--++-+-+-++-
30  5.223374506881  0.938146  ++++++--+--++-++---++---++-+-+-
30  5.221146055283  0.937746  ++++++--+--++-+----++---++-+-+-
30  5.218564370352  0.937282  ++++++----+++--++--+--+-++-+-+-
30  5.207457128135  0.935287  +++++--+++++--+---++-+-++--+-+-
30  5.199349897432  0.933831  ++-------++---++--+--++-+-+-++-
30  5.187210934989  0.931651  +++-+++---++++++-+-+--+--+---+-
30  5.178096732516  0.930014  +++----+++-+++-+++-+++-++-+--+-
30  5.176311898010  0.929693  ++--+--+---+++++-+-++-+++---++-
30  5.172417622409  0.928994  +++-----++++-+++-+++-+--+-+--+-
30  5.172007046410  0.928920  ++++--+++-------+-+-+--+--++-+-
30  5.170277817930  0.928609  +++-------++----+-++--+-+-+--+-
30  5.170176609226  0.928591  ++-++++++--+--+---+++--+-+-+++-
30  5.165191684869  0.927696  ++--+++---++++++-+-+--+--+--++-
30  5.162643540291  0.927238  ++++++-++-+--+--+++----+++-+-+-
30  5.158589164459  0.926510  +++++-++----+--++---+-++---+-+-
30  5.157529279693  0.926320  +++++-+-----+--++---+-+----+-+-
30  5.150319437731  0.925025  +++-+-++-+++---++-++-+++-----+-
30  5.149050941146  0.924797  ++---+++--+-+-+-------++-++-++-
30  5.146515673668  0.924342  +++++++-+--++-++---++----+-+-+-
30  5.146202077132  0.924285  +++-+-+--+++---++-++-++------+-
30  5.144896772056  0.924051  ++------+----+++-++-+---+-+-++-

32  5.456083591785  0.949782  ++----+++-+---+--+++-++++-++-+--+
32  5.439878752315  0.946961  ++++++++----+++--++-++-+--+-+-+-+
32  5.439713238994  0.946933  +++++++----+++--++--+--+-++-+-+-+
32  5.436089049595  0.946302  +++-------++---++--+--++-+-+-++-+
32  5.404546615668  0.940811  +++--+++--+++++++-+-+-++--+--++-+
32  5.401285970910  0.940243  ++---------++---++-++--+-+-+-+--+
32  5.399948227699  0.940010  +++++-++-+--+---++-+++----+++-+-+
32  5.398463987774  0.939752  ++---+-+---+++-++---+--+-----+--+
32  5.398027166747  0.939676  ++---++---+++++++-+-+-++-++--+--+
32  5.382862638594  0.937036  ++--+++++++----++--+-++-+-+-++--+
32  5.379250160050  0.936407  ++++-------++----+-++--+-+-+--+-+
32  5.378879945780  0.936343  +++---+---+++-+--++++-++-+++-++-+
32  5.373681417615  0.935438  ++---+++---+-++++-+----+--+--+--+
32  5.372601318843  0.935250  +++--------++---++-++--+-+-+-++-+
32  5.371840894087  0.935117  +++++++----++---++-++--+-++-+-+-+
32  5.370917639673  0.934957  ++++---+++++-+++--+---+-+--+--+-+
32  5.364030719443  0.933758  +++---+---+++-+-+++++-++-+++-++-+
32  5.361577805454  0.933331  ++++-----++--+--++---++--+-+--+-+
32  5.358192968419  0.932742  ++---+++-+-+-++++-+-------+--+--+
32  5.356793972966  0.932498  +++-----++--+-+++-++++--++-+-++-+
32  5.356370217005  0.932424  ++++++++----++---+--++-+--+-+-+-+
32  5.351073572729  0.931502  ++-----+-+++---++--+--+----+-+--+
32  5.347614433316  0.930900  ++---+-+---+++-+----+--+-----+--+
32  5.347006858079  0.930794  +++++++++----++--++--+-++-+-+-+-+
32  5.346646692472  0.930732  ++--+-+-+++-+--+---++++-++++++--+

34  5.685660468250  0.961052  +++++-----++--+--++---++--+-+--+-+-
34  5.670264185392  0.958450  ++++-------++---++--+--++-+-+-++-+-
34  5.638334121520  0.953052  ++++++-++-+--+--++--+++----+++-+-+-
34  5.591957180656  0.945213  +++-++++-+-++---++--+--+++++-+---+-
34  5.582088592369  0.943545  ++++----+----++---+--++-+---+-++-+-
34  5.581926608286  0.943518  +++++-++-+--+--+++-++---++++---+-+-
34  5.581702858028  0.943480  +++--+----++-+++++-+-+++--+-+++--+-
34  5.581458029622  0.943439  ++-----++------+-++++-+-+--++-+-++-
34  5.570142951097  0.941526  +++-+-----+-++-++--+++----+-+----+-
34  5.556705637733  0.939255  ++++++-++-+--+---++-+++----+++-+-+-
34  5.556300708023  0.939186  +++--------++---++--+--++-+-+-+--+-
34  5.553371270341  0.938691  ++---+-----+++-++--+++-++-+-+++-++-
34  5.545707093398  0.937396  +++---+++---+-++++-+----+--+--+--+-
34  5.544056670978  0.937117  +++-+++---++++++-+++-+-+--+--+---+-
34  5.540684216094  0.936547  +++---+++-+-+-++++-+-------+--+--+-
34  5.540472947255  0.936511  ++--+--+---+-+++++-+-++++-+++---++-
34  5.535846036002  0.935729  ++++++++----+++--++--+--+-++-+-+-+-
34  5.533258702361  0.935291  ++----+++++++++--++--+-+-+-+--+-++-
34  5.532823720378  0.935218  ++---++---++-+-+-+++++++--+--++-++-
34  5.525687518475  0.934012  ++---+-+-++---+++--+--+--++++++-++-
34  5.522176877706  0.933418  ++--+++++++----++--++-+--+-+-+--++-
34  5.520427768556  0.933123  ++++-+-++++-+--++--++----+-+++++-+-
34  5.520119444072  0.933070  +++-++--+--+-+++++-+-++++---++---+-
34  5.517297845335  0.932594  +++++++----+++--++--++-++-+--+-+-+-
34  5.515115367899  0.932225  ++++---++++-+++--++--+---+-++-++-+-

36  5.823385551581  0.957359  +++---+-----+++-++--+++-++-+-+++-++-+
36  5.775525082711  0.949490  ++++++-++-+--+--+++-++---++++---+-+-+
36  5.774193340515  0.949272  +++++++--+--+-++-++---++++---++-+-+-+
36  5.741383283372  0.943878  ++++++-++-+--+--++--++---++++---+-+-+
36  5.735145874626  0.942852  +++--+--+---+-+++++-+-++++-+++---++-+
36  5.725230125377  0.941222  ++--+-+--++-+-+----+-++++++--+++++--+
36  5.715340820317  0.939596  ++++-++++-+-++---++--+--+++++-+---+-+
36  5.714723572856  0.939495  +++----+++++++++--++--+-+-+-+--+-++-+
36  5.708127860674  0.938410  +++-+-++-+++-+-++-+++-----+---+++++-+
36  5.707349628365  0.938282  ++++++-++-++--+----+-+++--+++---+-+-+
36  5.707006788698  0.938226  ++++++++----+++--++--++-++-+--+-+-+-+
36  5.705670762901  0.938006  ++++++-----++--+--++---++--+-+--+-+-+
36  5.704739568782  0.937853  ++--+++--+++++++-+----+-+-+--++-++--+
36  5.704353301855  0.937790  ++----+++++++++--++--++-+-+-+-++-+--+
36  5.696738088860  0.936538  +++-++-+-+++-++-+-+++++---+-----+++-+
36  5.691686503696  0.935707  +++++++-++-+--+--++--+++----+++-+-+-+
36  5.688807021991  0.935234  +++-+--+++++-++-+++-+++---+-+--++++-+
36  5.686149761123  0.934797  +++--+++-+-++++-++--+++-+-----+--++-+
36  5.682790437868  0.934245  ++-----+++++-++--+---++---+-+--+-+--+
36  5.679384016765  0.933685  ++-----+-+++++---++--+--+-+----+-+--+
36  5.676608830351  0.933229  ++++--+-+++++--+---+---++-+-++++--+-+
36  5.674755407981  0.932924  ++--+++----+----+--+++-+---+-++-++--+
36  5.672173308071  0.932500  +++--+---------+++--+--+-+-+-+---++-+
36  5.671945294223  0.932462  +++--+-+++--+-+++-+++-++++--+----++-+
36  5.669051095545  0.931986  +++-----++-+++-+---+----+---++-+-++-+

38  6.019146899545  0.963835  ++++++++--+--+-++-++---++++---++-+-+-+-
38  6.003935279746  0.961399  ++--+++++--++++++-+----+-+-++--+-+--++-
38  5.978573814671  0.957338  +++++--+-+++++--+---+---++-+-++++--+-+-
38  5.944674290921  0.951910  ++++++++----+++--++--++--+--+-++-+-+-+-
38  5.939855897048  0.951138  +++----+++-+-+-+--++--++++++++-++-+--+-
38  5.931523673712  0.949804  +++-+++--+++----+-+-----+-++-++--+---+-
38  5.929234741085  0.949437  +++++++-----+++---++--+--+--+-+--+-+-+-
38  5.925135561971  0.948781  ++++++++---++++--++--++--+-++-++-+-+-+-
38  5.923783405761  0.948565  +++++++-----++--+--++---++--+-+--+-+-+-
38  5.923135741901  0.948461  ++++---+-----+++-++--+++-++-+-+++-++-+-
38  5.919556730699  0.947888  ++---------++++--+++-++--+-++-+-+-+-++-
38  5.913673155969  0.946946  +++++++--+--+-++--+---++----+++--+-+-+-
38  5.913079010019  0.946850  ++----+++-+-+-+--++--++--------+--+-++-
38  5.912347819448  0.946733  ++----+++-+-+-+--+++-++--------+--+-++-
38  5.907852044672  0.946013  ++---------++++--++--++--+-++-+-+-+-++-
38  5.903843870774  0.945372  ++-+++++-++-+--+---++-+++----+++-+-+++-
38  5.902147164719  0.945100  ++---++----+-+++++++-+-+-++++-+--++-++-
38  5.897402120824  0.944340  +++++++---++---++-+----++-++--+--+-+-+-
38  5.890254251468  0.943196  +++++++++----+++--++--++-++-+--+-+-+-+-
38  5.887697624354  0.942786  +++++++-++-+--+--++--++---++++---+-+-+-
38  5.885034212460  0.942360  +++++++-++-+--+--+++-++---++++---+-+-+-
38  5.879036253235  0.941399  ++-++++++++----++-++---++-+--+-+-+-+++-
38  5.874932831991  0.940742  +++++-++-++-----++++-+--+-+--+++---+-+-
38  5.872260000086  0.940314  +++-+-----+-++-++--++--+++----+-+----+-
38  5.870649798374  0.940056  +++-+++----+++++-+++-+++-+-++-+--+---+-

40  6.153645888590  0.961038  +++----+++-+-+-+--++--++--------+--+-++-+
40  6.147471378823  0.960074  ++++++-++-++--+--++++-+--+++--+++---+-+-+
40  6.120365007277  0.955840  ++---+-++++--+++-+-+------+--++-+----+--+
40  6.119601337391  0.955721  +++++++--+--++++--+--+++--+-++---++-+-+-+
40  6.116103517894  0.955175  ++-----+++++-+++-+---+----+---+-+--+-+--+
40  6.113953429602  0.954839  ++++++++++----+++--++--++-++-+--+-+-+-+-+
40  6.108441304594  0.953978  ++-----+++++-++--+---+---++---+-+--+-+--+
40  6.092754511481  0.951528  +++----+++-+-+---++--++--+------+--+-++-+
40  6.088173921659  0.950813  ++++++-++-++-----++++-+--+-+--+++---+-+-+
40  6.083465086776  0.950078  +++++++++---++++--++--++--+-++-++-+-+-+-+
40  6.080520260023  0.949618  +++++++++----+++--++--++--+--+-++-+-+-+-+
40  6.079926448188  0.949525  +++++--+++++--+---+-++++-+++--+-+--++-+-+
40  6.079503987052  0.949459  ++---+-++-----+--+---+---+++-+-++----+--+
40  6.079415000698  0.949445  ++++---++------+-+++--+----+-+-++--+--+-+
40  6.077894302025  0.949208  +++++++++----++++--++--++-+--+-++-+-+-+-+
40  6.075288306800  0.948801  +++-+-++++-+-++++--++--++-+-----+-+++++-+
40  6.073114778616  0.948461  ++++++++-----+++---++--+--+--+-+--+-+-+-+
40  6.070151525223  0.947998  ++-----------++++--++--++-+--+-+-+-+-+--+
