Smallest Mahler Measures by Degree

Smallest known (multiplicative) Mahler measure M greater than 1 for
primitive irreducible polynomials of each even degree d up to 200. Here v
is the number of roots outside the unit circle, and only the first d/2 + 1
coefficients are shown since these polynomials are reciprocal. M is known
to be optimal through degree 54.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
May 31, 2026

==========

  d  M                v  Coefficients
 56  1.238431627359   4  1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1
 58  1.237684127894   5  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1
 60  1.240061859037   4  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1
 62  1.244598861428   6  1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
 64  1.246918808403   4  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
 66  1.245397804852   7  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1
 68  1.241372531335   6  1 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1
 70  1.241422024928   5  1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1
 72  1.241788568356   6  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 0 0 -1
 74  1.246055240158   7  1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1
 76  1.242775741593   5  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
 78  1.245376549311   8  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1
 80  1.245374741297   6  1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 1
 82  1.244967734300   8  1 0 1 0 0 0 -1 0 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1
 84  1.247632944895   8  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -1
 86  1.244953592390   7  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1
 88  1.245922202165   8  1 1 0 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1 0 -1
 90  1.246403127917   9  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1
 92  1.252142335381   8  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
 94  1.247133538468   9  1 0 1 0 0 0 -1 0 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1
 96  1.247821565271  10  1 1 1 1 0 0 -1 -2 -2 -2 -1 0 1 1 2 2 1 1 -1 -1 -1 -2 -1 -1 0 1 1 1 1 1 0 0 -1 -1 0 -1 0 0 0 1 1 1 1 1 0 0 -1 -2 -1
 98  1.247395763109   9  1 1 0 0 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1 0 0 0 -1
100  1.247365098370   8  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 0 0 -1
102  1.249660707891  10  1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
104  1.248728765520   8  1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1
106  1.247521509928   7  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1
108  1.248548224284  10  1 1 0 0 0 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1 -1 -1 0 1 1 1
110  1.249288091898   9  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
112  1.248321136171  10  1 1 0 0 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 0 0 -1 0 0 0 1
114  1.249322264468  11  1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1
116  1.248698859023   8  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 -1
118  1.248967950284   9  1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 -1
120  1.249609817678   8  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1
122  1.249031297239   8  1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
124  1.249683442455  10  1 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1
126  1.250069298300  13  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1
128  1.250216971882  12  1 1 0 0 0 0 0 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1 0 0 0 -1 0 0 -1
130  1.249411774638   9  1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1
132  1.249944664586  12  1 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 1 1 1 1 0 -1 -1 -1 -1
134  1.250915488642  11  1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1
136  1.249298451244  10  1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1
138  1.250834413573  13  1 1 0 0 0 0 0 -1 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1 0 -1 0 1 1 0 -1
140  1.250134713249  12  1 1 0 0 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 0 0 -1 0 0 0 1
142  1.250491110615  13  1 1 1 1 0 0 -1 -2 -2 -2 -1 -1 0 1 2 3 2 2 1 0 -1 -3 -3 -3 -2 -1 0 2 3 4 3 2 1 -1 -2 -4 -4 -3 -2 0 1 3 4 4 3 1 0 -2 -3 -4 -4 -2 -1 1 2 3 4 3 2 0 -1 -2 -3 -3 -3 -2 -1 0 1 2 3 3
144  1.250546050060  12  1 1 0 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1 0 -1
146  1.250575085448  10  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
148  1.252199127296  15  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
150  1.251108319032  15  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 -1 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1
152  1.251074088668  14  1 1 0 0 0 0 0 -1 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 1 1 0 -1 0 1 0 -1 -1 0 1
154  1.250924840187  13  1 1 0 0 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1 0 0 0 -1
156  1.252026213532  17  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
158  1.251786747324  15  1 1 0 0 0 0 0 -1 -1 0 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 -1 -1 0 1 0 -1 0 1 1 0 -1 0 1
160  1.251047012291  14  1 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 1 1 1 1 0 -1 -1 -1 -1
162  1.251157541114  15  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
164  1.252712341185  20  1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 -1 0 0 1 0 1 0 0 -1 0 0 0 0 0 0 -1 0 0 1 0 1 0 0 -1 0 0 0 0 1 1 0 0 0 0 -1 0 0 0 -1 0 0 0 0 1 1 0 0 0 0 -1 0 0 0 -1
166  1.251350589196  11  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1
168  1.251995991922  18  1 1 1 1 0 0 -1 -2 -2 -2 -1 0 1 2 3 3 2 1 -1 -2 -3 -4 -3 -2 0 1 2 3 3 3 1 0 -1 -2 -2 -3 -2 -1 0 1 1 2 2 2 1 0 0 -1 -1 -2 -2 -1 -1 0 0 1 2 2 2 1 1 0 -1 -2 -2 -1 -1 0 0 1 2 1 1 0 0 0 -1 -1 -1 0 0 0 0 0 1
170  1.251626125645  12  1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
172  1.251591664820  16  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
174  1.251581047533  15  1 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1 -1 -1 0 1 1 1 1
176  1.251742034014  12  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 -1
178  1.251628394620  13  1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 0 1 1 1 0 -1 -2 -2 -1 0 1 1 1 0 0 -1
180  1.251754136162  16  1 1 0 0 0 0 0 -1 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 1 1 0 -1 0 1 0 -1 -1 0 1
182  1.251961460350  12  1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
184  1.251782980040  14  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
186  1.252577542826  21  1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 1 0 0 -1 -1 -1 0 0 0 0 0 0 0 1 1 1 0 0 -1 -1 -1 0 1 1 1 0 0 -1 0 0 1 0 0 -1 -1 -1 0 1 1 1 0 -1 -2 -1 0 1 1 1 0 -1 -1 0 1 1 1 0 -1 -2 -1 0 1 1 1 0 -1 -1 0 1 1 1 0 -1 -2 -1 0 1 1
188  1.252078223387  16  1 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 1 1 1 1 0 -1 -1 -1 -1
190  1.251983764901  13  1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1 -1
192  1.252288486897  18  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
194  1.251892804282  15  1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1
196  1.252262648569  13  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
198  1.252569978105  20  1 0 1 0 0 0 -1 0 -1 0 0 0 1 0 1 0 0 0 -1 0 -1 0 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1 1 0 0 -1 -1 -1 -1 0 0 1 1 1
200  1.252311740125  18  1 1 0 0 0 0 0 -1 -1 0 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 0 0 0 -1 0 1 0 0 0 0 1 0 -1 0 1 1 0 -1 0 1 0 -1 -1 0 1 0 -1
