Largest Mahler Measures of Littlewood Polynomials by Degree

Recall a Littlewood polynomial is one where all coefficients are ±1. The
question of maximizing the Mahler measure of a Littlewood polynomial,
relative to its degree, is known as Mahler's problem. This is related to a
number of flatness questions regarding this family of polynomials.

This list shows up to 25 of the largest (multiplicative) Mahler measures
of Littlewood polynomials of fixed degree d, for each degree up to 30. This
extends the list published in [2]. Both the Mahler measure M and the
normalized value M/√(d+1) are displayed for each entry.

Only one representative polynomial for each displayed value is shown,
always one where the coefficients of x^d and x^(d-1) are both 1.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
June 23, 2026

References

[1] Peter Borwein,
Computational Excursions in Analysis and Number Theory,
CMS Books Math./Ouvrages Math. SMC 10,
Springer, New York, 2002. MR1912495
DOI 10.1007/978-0-387-21652-2

[2] Peter Borwein and Michael J. Mossinghoff,
Barker sequences and flat polynomials,
in Number Theory and Polynomials (Bristol, 2007),
London Math. Soc. Lecture Note Ser. 352,
Cambridge Univ. Press, Cambridge, 2008, 71-88. MR2428516
DOI 10.1017/cbo9780511721274.007

[3] Michael J. Mossinghoff,
Mahler's problem and Turyn polynomials,
29 pp. arXiv:2405.08281v2 [math.NT]

==========

d  M               M/√(d+1)  Coefficients
11  3.135664957281  0.905189  --+-+--+++++
11  3.124238686964  0.901890  ++++++-+--++
11  3.122618503870  0.901422  +-+-+--+++++
11  3.120119403864  0.900701  +++++-+--+++
11  3.110059775304  0.897797  +++++-+---++
11  3.103350501467  0.895860  ++-++-+---++
11  3.098687083016  0.894514  --++----+-++
11  3.081146737010  0.889450  +--+---+++++
11  3.069377761159  0.886053  +-+--+--++++
11  3.062155557516  0.883968  ++++-+-+--++
11  3.061749155992  0.883851  +-++---+++++
11  3.054109706569  0.881646  +++-+-++--++
11  3.052063547639  0.881055  ++++-+-++-++
11  3.050573516533  0.880625  +-+--+++++++
11  3.049800494178  0.880402  +-++--++++++
11  3.039684028052  0.877481  +-+-++++--++
11  3.039669046386  0.877477  +-+--++--+++
11  3.037892960556  0.876964  --+-+++--+++
11  3.032780928242  0.875488  +----+-+--++
11  3.032023135248  0.875270  --+++--+-+++

12  3.556393149273  0.986366  +-+-++--+++++
12  3.460376102396  0.959736  -+-++--++++++
12  3.409305018612  0.945571  ++++-+-++--++
12  3.398007009045  0.942438  -+++--+-+++++
12  3.359779553950  0.931835  +-+-+++++--++
12  3.357354970598  0.931163  +---+++-++-++
12  3.355019324476  0.930515  +-+--++--++++
12  3.353746757760  0.930162  +++-+++--+-++
12  3.353134020351  0.929992  --++-----+-++
12  3.346329607632  0.928105  --++--+-+++++
12  3.303235909219  0.916153  --++-+-++++++
12  3.300484362020  0.915390  +-+----++--++
12  3.299304654907  0.915062  -++--+-+-++++
12  3.296514189735  0.914289  -+-++---+++++
12  3.294108401245  0.913621  ---++--+-++++
12  3.280730964648  0.909911  ---+++-++-+++
12  3.265394640055  0.905658  -++--+-++++++
12  3.258508463442  0.903748  +-++-+++---++
12  3.256512238884  0.903194  -+-+++++--+++
12  3.245367376903  0.900103  --++----+-+++
12  3.244928043600  0.899981  --+-+--++++++
12  3.243472970175  0.899578  --++++-+++-++
12  3.237600027435  0.897949  ++++--++-+-++
12  3.232748852144  0.896603  +-+++-++---++
12  3.228913268927  0.895539  -+-+--+---+++

13  3.575361881264  0.955556  +-+-++--++++++
13  3.558023079320  0.950922  +++++--++-+-++
13  3.545927854080  0.947689  +-+--++--+++++
13  3.531038738595  0.943710  +++++-+-++--++
13  3.514994770416  0.939422  +-+-----++--++
13  3.504552428055  0.936631  --+++--+-+++++
13  3.503231933002  0.936278  +--++-+-++++++
13  3.491333704163  0.933098  --+-+----++-++
13  3.485979833357  0.931667  +-+-+-++--++++
13  3.468019735597  0.926867  +-+--+-+++-+++
13  3.459906694834  0.924699  --+-+-++--++++
13  3.457733695812  0.924118  --++--+-+-++++
13  3.451892002697  0.922557  --++--+-++++++
13  3.440824972164  0.919599  +----++-+++-++
13  3.439139521713  0.919149  +--++-+-+-++++
13  3.431716593351  0.917165  --+--+-+---+++
13  3.430500185294  0.916840  +-+++-++----++
13  3.427157520452  0.915946  +-+-+--+--++++
13  3.426297428981  0.915717  ++++-+--++--++
13  3.420233929159  0.914096  +---+--+----++
13  3.414761904847  0.912634  +------++-+-++
13  3.409719921676  0.911286  --+--++-+-++++
13  3.408366545977  0.910924  ++-++-+++---++
13  3.405205493523  0.910079  +---++++-++-++
13  3.402443858909  0.909341  +-+--++---++++

14  3.740894818472  0.965895  -+-+--++--+++++
14  3.644853435884  0.941097  -++-+-++--+++++
14  3.640698209309  0.940024  +++-+++-+--+-++
14  3.638569997921  0.939475  -++--++-+-+++++
14  3.635485755769  0.938678  -++-+---+++-+++
14  3.630245924273  0.937325  +-+-+--++--++++
14  3.629223277299  0.937061  --++-----+-+-++
14  3.627248189502  0.936551  --+-+-++--+++++
14  3.621920980614  0.935176  --+--++++-+-+++
14  3.620489546159  0.934806  +-+-++-++--++++
14  3.618214089932  0.934219  ++++++--++-+-++
14  3.596932267078  0.928724  -+++---+-++-+++
14  3.596313951575  0.928564  ++++++-+-++--++
14  3.594918790952  0.928204  --++-++++-+-+++
14  3.594313624521  0.928048  ++-+++-++----++
14  3.593642540239  0.927875  --+---+----++++
14  3.583747043556  0.925320  +-+-++++--+--++
14  3.574319754790  0.922885  -++--+-+----+++
14  3.572695135446  0.922466  ---++--+-++++++
14  3.572461111081  0.922405  --++-+++++-+-++
14  3.567867469905  0.921219  +++---+-+-++-++
14  3.563642964928  0.920129  --++--+-+-+++++
14  3.562968286751  0.919954  -++--+-+--+++++
14  3.558270218796  0.918741  -+++++--++-+-++
14  3.555962986747  0.918146  +-++-+---+++-++

15  3.776452805541  0.944113  +-++-+---+++-+++
15  3.771544593492  0.942886  +----++++-+++-++
15  3.770740254900  0.942685  +-+--+---+---+++
15  3.765918594486  0.941480  --++--+++++-+-++
15  3.754792432391  0.938698  +-+-+--++--+++++
15  3.751519912395  0.937880  --+-+--++--+++++
15  3.744081944341  0.936020  +-----++--+-+-++
15  3.736530418104  0.934133  --+--+---+---+++
15  3.725270988410  0.931318  +-+--++---++++++
15  3.723017013431  0.930754  --+++++--++-+-++
15  3.714678703621  0.928670  --++--+-+----+++
15  3.714623577529  0.928656  +-++-+-++--+++++
15  3.707030701079  0.926758  --++--++-+-+++++
15  3.706066294986  0.926517  ++-+-++++--+--++
15  3.698447931079  0.924612  +-+---++++-++-++
15  3.697655575419  0.924414  +++++-+-+-++--++
15  3.693929493972  0.923482  +---++--+-++++++
15  3.691306435640  0.922827  +--+-+-+++++--++
15  3.688755405815  0.922189  +-++-+++---+++++
15  3.682712611399  0.920678  ++-+++++--+-+-++
15  3.680998728678  0.920250  +--++--+-+----++
15  3.680531080555  0.920133  +-+++-++-++---++
15  3.673799634649  0.918450  +-++--+-++++-+++
15  3.672919668215  0.918230  +--++--+-+--++++
15  3.672258764458  0.918065  +-+-++--+-----++

16  3.878475003367  0.940668  --+-+-++++--++-++
16  3.870964554212  0.938847  +--+-+--++-----++
16  3.866775985365  0.937831  --++--+-+----++++
16  3.856038913034  0.935227  -+-++-+---+++-+++
16  3.838334608970  0.930933  -++-+-+++--++++++
16  3.836279871027  0.930435  +-++-+++-+++---++
16  3.834863882942  0.930091  --+-+--++-----+++
16  3.827999175451  0.928426  ++-++-++-+-+---++
16  3.827943324201  0.928413  --++++++--++-+-++
16  3.824726638586  0.927632  +++++--++--+-+-++
16  3.821101125469  0.926753  --++--+-+-----+++
16  3.820559545121  0.926622  --+++-+++-+--+-++
16  3.817890222283  0.925974  ++-+++-++++----++
16  3.815656632162  0.925433  --+---+-+----++++
16  3.812950312477  0.924776  +--++--+++++-+-++
16  3.810580806053  0.924202  --++++++-+-++--++
16  3.810374344648  0.924152  -+++---+-++-+++++
16  3.808686714834  0.923742  -++--+-+----+++++
16  3.807528235933  0.923461  +-+-+-++--+++++++
16  3.806784178637  0.923281  +-+-+--+--+----++
16  3.805863207649  0.923057  +-+-++--++--+++++
16  3.802627167467  0.922273  +++-+-++++--+--++
16  3.802046864058  0.922132  +-++-+---+++-++++
16  3.797046130795  0.920919  -+-++--++---+++++
16  3.793431553624  0.920042  --++-+++++-+-++++

17  4.014060007537  0.946123  --+-++-+---+++-+++
17  3.995740717895  0.941805  +-++-+++-+++---+++
17  3.985173613234  0.939314  +--++--+-+-----+++
17  3.983844549661  0.939001  +--+--++----+-+-++
17  3.983615127858  0.938947  +--+-+---+------++
17  3.974384045978  0.936771  --+--++----+-+-+++
17  3.971923821719  0.936191  +++---+-+-++-++-++
17  3.965289109048  0.934628  +-+-+--++----+++++
17  3.962151589590  0.933888  +++-+++-++-+----++
17  3.961969095121  0.933845  +----+-+-----+--++
17  3.953231454648  0.931786  +---+-+--+------++
17  3.945763710290  0.930025  +--+---+-++++--+++
17  3.943212950030  0.929424  --+++++-++--+-+-++
17  3.940764798636  0.928847  --++--+++++-+-++++
17  3.940407284718  0.928763  +-+--+---+-----+++
17  3.940175245626  0.928708  +-++----+++-+++-++
17  3.937871893818  0.928165  +--+-+++---+++++++
17  3.935060103693  0.927503  --++--+-++-+-+++++
17  3.934913519634  0.927468  ++++-++++-+---+-++
17  3.932162709244  0.926820  --+--++-++++-+-+++
17  3.929909574870  0.926289  --+--++-+-+----+++
17  3.927549663330  0.925732  ++++--+-++-+++-+++
17  3.924658995983  0.925051  ++-+-+++++--++--++
17  3.922816129307  0.924617  +--+-+---+-----+++
17  3.922003029097  0.924425  --+-+-+++++--++-++

18  4.162687665145  0.954986  -++++-++++-+---+-++
18  4.123497652781  0.945995  --+--++----+-+-++++
18  4.118557588930  0.944862  -+-++-+++-+++---+++
18  4.117679492636  0.944660  --++-++----+-+-++++
18  4.114373330065  0.943902  +-+-+----++++-++-++
18  4.092645553892  0.938917  ++-++++-++-+---+-++
18  4.085688764855  0.937321  +-+-+--++----++++++
18  4.072025382063  0.934187  +--+-+-++--+-----++
18  4.071166363620  0.933990  +-+-+++++----++--++
18  4.069818500581  0.933680  -+--+-+---+-----+++
18  4.067081483511  0.933052  -+++-+++-++-+----++
18  4.065202177201  0.932621  -+-+--+---+-----+++
18  4.065151311463  0.932610  +++-+++-++-+----+++
18  4.065071820816  0.932591  +++++-+---+-++---++
18  4.060985988193  0.931654  ++++++--+--+-+---++
18  4.060588066808  0.931563  -+-+++--+--++++-+++
18  4.059231181934  0.931252  -++--+++-+--+-+++++
18  4.057056233632  0.930753  +-+++-++-++++----++
18  4.057050374369  0.930751  --+-++-+---+++-++++
18  4.056447310491  0.930613  +++-++-++-+-+---+++
18  4.052207376829  0.929640  +++-+-++++----+--++
18  4.050232846231  0.929187  -++---++-+---+-++++
18  4.046713329551  0.928380  -+++-+---++-++++-++
18  4.044740070382  0.927927  +-++-+-+---+-----++
18  4.043861278081  0.927725  -+++-+++-++-+--++++

19  4.301669418512  0.961883  +-+-++++-++++--+--++
19  4.259616979537  0.952479  --+-+--+---+-----+++
19  4.235309273745  0.947044  +-+---+-++---++-++++
19  4.218440789181  0.943272  --+++++++--++-+-+-++
19  4.215138549006  0.942534  --+-++-+++-+++---+++
19  4.214339114759  0.942355  --+-++-+---+++-+++++
19  4.212844289038  0.942021  +--++---+-+--+-+++++
19  4.207911976377  0.940918  +---+-+++--+-++-++++
19  4.206038125455  0.940499  +-+++++-+--+-+++--++
19  4.200722371385  0.939310  +-+-+--+--++---+++++
19  4.197397965300  0.938567  +-++-+----+++-+++-++
19  4.191967339749  0.937352  --++--+-++-+-+-+++++
19  4.188243447547  0.936520  +++---+-+-++++-++-++
19  4.185965694499  0.936010  +++++-+-++-+--++--++
19  4.182558073285  0.935248  +--+-+--+---+-----++
19  4.182218115589  0.935172  ++++-++++-+-+--++-++
19  4.180964313226  0.934892  +-+-++-+--++--++++++
19  4.180886167342  0.934875  +-+---+--+-++++--+++
19  4.179894860221  0.934653  +-+-+--++----+++++++
19  4.178321509058  0.934301  ++-+-+++++----++--++
19  4.173114865590  0.933137  ++++-++-++---+-+-+++
19  4.170350238794  0.932519  +-++++-++++-+---+-++
19  4.168293047484  0.932059  +-+-+----++++--++-++
19  4.167005864348  0.931771  +--++-++----+-+-++++
19  4.166242013966  0.931600  --++-++----++-+-++++

20  4.398528094748  0.959838  +--+-+-+--++-------++
20  4.393935642329  0.958835  +-++-+-+++-+++-----++
20  4.377464978529  0.955241  -++---++-+---+-++++++
20  4.374493978863  0.954593  +-+-+--+--++---++++++
20  4.344275350559  0.947999  +++++-++--+-+-++---++
20  4.341235478669  0.947335  -+-+-+--+--++---+++++
20  4.340555883313  0.947187  +--+--+-+-++++++---++
20  4.332428045826  0.945413  +-+-++---++--+--+++++
20  4.328893662084  0.944642  +++----++-+-++-+++-++
20  4.314852007755  0.941578  ---++----+--+---+-+++
20  4.308296207639  0.940147  --+-++-+++-+++---++++
20  4.298296560544  0.937965  +-++---++-+---+-+++++
20  4.291653936704  0.936516  -+-+-++-+--++--++++++
20  4.288984660191  0.935933  ++++-++---++-+---+-++
20  4.285902309060  0.935261  --++---++-+---+-+++++
20  4.283691791483  0.934778  +---+++++-+++-++-+-++
20  4.281712405640  0.934346  -+-+-++-+--++---+++++
20  4.280995013490  0.934190  +-+--+-+++-----+---++
20  4.280481741933  0.934078  -+++++-+-++-+--++--++
20  4.278300039289  0.933602  -++-++-++++-+-+---+++
20  4.277819776259  0.933497  +-----+++-+++-++-+-++
20  4.277726134274  0.933476  -+++-+---++++-++++-++
20  4.276878092751  0.933291  ++++-++-+--+++-+---++
20  4.276861490084  0.933288  +++-++++-++-+---+-+++
20  4.274287237550  0.932726  ++-++++-++++-+---+-++

21  4.475184539394  0.954113  +++++-++--+-+-++---+++
21  4.461204293546  0.951132  +-+-+--+--+++++++--+++
21  4.452375238526  0.949250  ++--+-+-+--++-------++
21  4.451074099368  0.948972  --+++--++-++-+-+-+++++
21  4.449413835462  0.948618  +-+-+--+--++---+++++++
21  4.441561877421  0.946944  ++-++-+-+++-+++-----++
21  4.435116353594  0.945570  +--+--+-+-++++++---+++
21  4.430200173385  0.944522  +---++---+-++--+-+++++
21  4.426194547913  0.943668  +-+-+--+--++-++++--+++
21  4.425489154875  0.943517  +-+-+--+--++----++++++
21  4.418966659341  0.942127  +++++-+-+--+--++----++
21  4.418251591894  0.941974  +-+-+-++-+--++---+++++
21  4.417301063965  0.941772  +-+-++++++--+--++---++
21  4.409674462500  0.940146  +-+---+++--+--+-++++++
21  4.401281501518  0.938356  +-+---+-++---++-++++++
21  4.401104005135  0.938319  +--+-++-+++-+++-----++
21  4.397655808184  0.937583  +-+-++-++++--++-----++
21  4.397268019000  0.937501  +-++--+--+-+-++++--+++
21  4.396598792932  0.937358  +++-----+---+--+-+--++
21  4.395158828182  0.937051  +-++-+-+++-+++-----+++
21  4.395059129423  0.937030  +-+-++-++--++---++++++
21  4.394906376880  0.936997  +-+---++-++----+----++
21  4.394903161449  0.936997  +-+-+-+--+--++++++--++
21  4.394449026092  0.936900  --++++-+++++-+---++-++
21  4.392204198882  0.936421  +-+++-+---++++-++++-++

22  4.571830966387  0.953293  -+-+-+--+--++---+++++++
22  4.559295726774  0.950679  +-+-+-------+--++----++
22  4.551990124116  0.949156  -+--+-+---+---+-----+++
22  4.549229056017  0.948580  +-++--+-+-++---++++++++
22  4.544948947390  0.947687  --+++--++-++-+-+-++++++
22  4.544568460977  0.947608  -+--+-++-+++-+++----+++
22  4.540589334942  0.946778  +-++-+-+++++-----++--++
22  4.540056209228  0.946667  -+--+--+-+-++++++---+++
22  4.539545776290  0.946561  -+-+-+--+--+++++++--+++
22  4.535057748359  0.945625  --++--++-+--+-+-----+++
22  4.534971071736  0.945607  -+++---++-+-+--++-+++++
22  4.530701511563  0.944717  +-+-+-++-+--++---++++++
22  4.528923869474  0.944346  +-+-+----++----+--++-++
22  4.527234875407  0.943994  --+++------+-+-++-++-++
22  4.525231681757  0.943576  +++--++++-+-+--+--++-++
22  4.524005004872  0.943320  ++++++-++--+-+-++---+++
22  4.523928791326  0.943304  -+-+-++-++--++---++++++
22  4.519945663887  0.942474  -++-+-+-++--++-------++
22  4.519266962485  0.942332  +-+--+-+---+++++-++--++
22  4.517646975180  0.941995  -++---++-+---+-++++++++
22  4.515219921230  0.941488  --+++--+-+-++--+--+++++
22  4.514672027283  0.941374  +-+-+--+--++-++++--++++
22  4.512520027742  0.940925  -+-++-++-+++-+++----+++
22  4.510929379633  0.940594  +-+-++-++--++----++++++
22  4.507326116622  0.939842  +-+--+-+++-+---+++-++++

23  4.714618660719  0.962368  +--+--+-+-+------+++--++
23  4.673501989805  0.953975  +-+++-+++-++-+--+----+++
23  4.659314596986  0.951079  +-+-+--+--+--++---++++++
23  4.657815413435  0.950773  +--+++--+-++-+---+-+++++
23  4.653554083409  0.949903  --+++--++-++-+-+-+++++++
23  4.649655796619  0.949107  +-+-+-+--+--++---+++++++
23  4.648367612977  0.948844  --+++--+-+-++--+--++++++
23  4.647236222174  0.948613  +-+++-+++-++-+-++----+++
23  4.642215963784  0.947588  --+++---++-+-+--++-+++++
23  4.633609467112  0.945832  +--+--+-+-+------++--+++
23  4.631856759477  0.945474  +++++++-+-+--+--++----++
23  4.626852182429  0.944452  +-+++-++++--++-+----+-++
23  4.623488655123  0.943766  ++-+--+-+---+++++-++--++
23  4.623317089439  0.943731  --++---+-+++-+--+-++++++
23  4.621280670631  0.943315  +--+--++-+-+-++---++++++
23  4.618650237394  0.942778  ++--+--++-+-+----+----++
23  4.616978366054  0.942437  +--+--+-+-+------++---++
23  4.615486328779  0.942132  +---++---+-++--+-+++++++
23  4.614181971107  0.941866  ++++++--+-+-++--++-+--++
23  4.613500957238  0.941727  ++++++--+-+-++--++++--++
23  4.612517848152  0.941526  --+--+--+-+-++++++---+++
23  4.612166065952  0.941454  ++-+-+-------+--++----++
23  4.610956287963  0.941208  ++++++++---++-+-+--++-++
23  4.610821322625  0.941180  +-+--++-+-++---+------++
23  4.608815984537  0.940771  --++-++--++++--+-+-+++++

24  4.834129529288  0.966826  -++--+--+-+-+++++++---+++
24  4.813044521614  0.962609  +-++--+--+-+-+++++++---++
24  4.787624002757  0.957525  +--+--++-+-+------++---++
24  4.766963839876  0.953393  +++----+--+-++-+++-+++-++
24  4.765627375942  0.953125  -+-+-++-++--+++---+++++++
24  4.757244407493  0.951449  +-++--+-+-+--+++---++++++
24  4.756862844626  0.951373  --+-++-+++----+++-+++-+++
24  4.753924788263  0.950785  +-+-+----+----++++--+--++
24  4.749823525640  0.949965  --++--+----++----+-+-++++
24  4.741573658451  0.948315  +++++-+---+-++-+--+++--++
24  4.738860087666  0.947772  -+-+--+--++-+++++++---+++
24  4.735460230613  0.947092  ++++-++++--+-+-+++--+--++
24  4.734793191018  0.946959  +--+--+++++++-+-+-++---++
24  4.733449955349  0.946690  +-+-+--+--++-+++++++---++
24  4.731370389489  0.946274  ++++-+-+-++++----+--+--++
24  4.731049900145  0.946210  --+++--+-+-++--+--+++++++
24  4.730879671405  0.946176  +-++--++-+-+----++++-++++
24  4.730111075379  0.946022  +-+-+-++-++-------++---++
24  4.729349142445  0.945870  -+-+--+--++-+++-+++---+++
24  4.727689274522  0.945538  -++-+++--+----+++-+-+++++
24  4.721866389459  0.944373  -+-+-+--+--+--++++++--+++
24  4.718502838422  0.943701  -+-+-++--+--+++---+++++++
24  4.716368972333  0.943274  +--+--++-+-+-+++++++---++
24  4.716335019732  0.943267  -++-++--+-+-++---++++++++
24  4.715632317733  0.943126  --+++---++-+-+--++-++++++

25  4.935700222643  0.967970  +-++--+--+-+-+++++++---+++
25  4.900005948593  0.960970  --++---++++++-+-+-++-++-++
25  4.865890994484  0.954280  +-++--+-------+-+-++---+++
25  4.861099132169  0.953340  +--+-++-+++----+++-+++-+++
25  4.860933181170  0.953307  ++-++--+--+-+-+++++++---++
25  4.853833399416  0.951915  +--+-++-+++-+++-+++----+++
25  4.850009679618  0.951165  +--+--++-+-+------++---+++
25  4.848028924789  0.950777  +---+---+---++++---+--+-++
25  4.847346841091  0.950643  --+--+--+-+-+---++---+++++
25  4.845873245743  0.950354  +-+-+---++-++----++++-++++
25  4.844499074199  0.950084  +-+-+--+--++-+++++++---+++
25  4.843233320330  0.949836  --+--+--+++--++++-+-+-++++
25  4.839349393671  0.949074  +-+-+-++-++-+++++---++--++
25  4.831609174863  0.947557  +-++--+-+-+--+++---+++++++
25  4.829058327613  0.947056  +-+----+-++-----+---+++-++
25  4.823878405364  0.946040  ++++++-+---+-++-+--+++--++
25  4.822546109517  0.945779  +-+-+-+--+--+--++++++--+++
25  4.821609293263  0.945595  --+++--+-+-++--+--++++++++
25  4.818556695882  0.944997  +-+---+-++------+--+++--++
25  4.818201487946  0.944927  +-++-+----+++-+-+++-+++-++
25  4.818200285334  0.944927  +--+++--+-++-+---+-+++++++
25  4.816935392967  0.944679  --+--++-+-+--+++---+++++++
